"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GLZQDWV9","journalArticle","1993","Lindgren, Kristian; Nordahl, Mats G.","Cooperation and Community Structure in Artificial Ecosystems","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.15","https://direct.mit.edu/artl/article/1/1_2/15-37/2258","We review results on the evolution of cooperation based on the iterated Prisoner's Dilemma. Coevolution of strategies is discussed both in situations where everyone plays against everyone, and for spatial games. Simple artificial ecologies are constructed by incorporating an explicit resource flow and predatory interactions into models of coevolving strategies. Properties of food webs are reviewed, and we discuss what artificial ecologies can teach us about community structure.","1993-10","2021-08-06 07:18:14","2021-08-06 07:18:14","2021-08-06 07:18:14","15-37","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDWP7SQZ","journalArticle","1993","Taylor, Charles; Jefferson, David","Artificial Life as a Tool for Biological Inquiry","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1993.1.1_2.1","https://direct.mit.edu/artl/article/1/1_2/1-13/2255","Artificial life embraces those human-made systems that possess some of the key properties of natural life. We are specifically interested in artificial systems that serve as models of living systems for the investigation of open questions in biology. First we review some of the artificial life models that have been constructed with biological problems in mind, and classify them by medium (hardware, software, or “wetware”) and by level of organization (molecular, cellular, organismal, or population). We then describe several “grand challenge” open problems in biology that seem especially good candidates to benefit from artificial life studies, including the origin of life and self-organi- zation, cultural evolution, origin and maintenance of sex, shifting balance in evolution, the relation between fitness and adaptedness, the structure of ecosystems, and the nature of mind.","1993-10","2021-08-06 07:18:08","2021-08-06 07:18:08","2021-08-06 07:18:08","1-13","","1_2","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9ST94VT","journalArticle","1994","Wilson, David Sloan; Wells, Alexandra","Radical Epistasis and the Genotype-Phenotype Relationship","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.2.1.117","https://direct.mit.edu/artl/article/2/1/117-128/2241","Models of evolution often assume that the offspring of two genotypes, which are genetically intermediate by definition, are also phenotypically intermediate. The continuity between genotype and phenotype interferes with the process of evolution on multipeaked adaptive landscapes because the progeny of genotypes that lie on separate adaptive peaks fall into valleys of low fitness. This problem can be solved by epistasis, which disrupts the continuity between genotype and phenotype. In a five-locus sexual haploid model with maximum epistasis, natural selection in multipeak landscapes evolves a set of genotypes that a) occupy the adaptive peaks and b) give rise to each other by recombination. The epistatic genetic system therefore “molds” the phenotypic distribution to the adaptive landscape, without assortative mating or linkage disequilibrium. If the adaptive landscape is changed, a new set of genotypes quickly evolves that satisfies conditions a and b, above, for the new peaks.             Our model may be relevant to a number of recalcitrant problems in biology and also stands in contrast to Kauffman's [3] NK model of evolution on rugged fitness surfaces, in which epistasis and recombination tend to constrain the evolutionary process.","1994-10","2021-08-06 07:17:27","2021-08-06 07:17:27","2021-08-06 07:17:27","117-128","","1","2","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7T6VRQWY","journalArticle","1994","Miglino, Orazio; Nafasi, Kourosh; Taylor, Charles E.","Selection for Wandering Behavior in a Small Robot","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.2.1.101","https://direct.mit.edu/artl/article/2/1/101-116/2240","We have evolved artificial neural networks to control the wandering behavior of small robots. The task and environment were very simple—to touch as many squares in a grid as possible during a fixed period of time. A number of the simulated robots were embodied in a small Lego™ robot, controlled by a Motorola™ 6811 processor; and their performance was compared to the simulations. We observed that: (a) evolution was an effective means to program the robot's behavior; (b) progress was characterized by sharply stepped periods of improvement, separated by periods of stasis that corresponded to levels of behavioral/computational complexity; and (c) the simulated and realized robots behaved quite similarly, the realized robots in some cases outperforming the simulated ones. Introducing random noise to the simulations improved the fit somewhat (from r = 0.73 to 0.79). Hybrid simulated/embodied selection regimes for evolutionary robots are discussed.","1994-10","2021-08-06 07:17:21","2021-08-06 07:17:21","2021-08-06 07:17:21","101-116","","1","2","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGAA36KP","journalArticle","1994","Kitano, Hiroaki","A Simple Model of Neurogenesis and Cell Differentiation Based on Evolutionary Large-Scale Chaos","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.2.1.79","https://direct.mit.edu/artl/article/2/1/79-99/2239","This article reports on a simple neurogenesis model that is combined with evolutionary computation. Because the integration of an evolutionary process with neural networks is such an exciting field of study, with the promise of discovering new computational models and, possibly, providing novel biological insights, much research has been conducted in this area. However, only a few studies have incorporated a development stage, and none have modeled metabolism and other chemical reactions in a consistent manner. In this article, we present a simple model of neurogenesis and cell differentiation that combines evolutionary computing, metabolism, development, and neural networks. The model represents an evolutionary large-scale chaos as a mathematical foundation. An evolutionary large-scale chaos is a large-scale chaos whose map functions change through evolutionary computing. Experiments indicate that the model is capable of evolving and growing large neural networks, and exhibits phenomena analogous to cell differentiation.","1994-10","2021-08-06 07:17:15","2021-08-06 07:17:15","2021-08-06 07:17:15","79-99","","1","2","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZBFERHF","journalArticle","1994","Sipper, Moshe","Studying Artificial Life Using a Simple, General Cellular Model","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.2.1.1","https://direct.mit.edu/artl/article/2/1/1-35/2238","Some of the major outstanding problems in biology are related to issues of emergence and evolution. These include: (a) how populations of organisms traverse their adaptive landscapes; (b) what the relation between adaptedness and fitness is; and (c) the formation of multicellular organisms from basic units or cells. In this article we study these issues using a model that is both general and simple. The system, derived from the CA (cellular automata) model, consists of a two-dimensional grid of interacting organisms that may evolve over time. We first present designed multicellular organisms that display several interesting behaviors, including reproduction, growth, and mobility. We then turn our attention to evolution in various environments, including an environment in which competition for space occurs, an IPD (Iterated Prisoner's Dilemma) environment, an environment of spatial niches, and an environment of temporal niches. One of the advantages of artificial life (AL) models is the opportunities they offer in performing in-depth studies of the evolutionary process. This is accomplished in our case by observing not only phenotypic effects but also such measures as fitness, operability, energy and the genescape. Our work sheds light on the problems raised above, and offers a possible path toward the long-term, two-fold goal of ALife research: (a) increasing our understanding of biology, and (b) enhancing our understanding of artificial models, thereby providing us with the ability to improve their performance.","1994-10","2021-08-06 07:17:09","2021-08-06 07:17:09","2021-08-06 07:17:09","1-35","","1","2","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKZT3RVL","journalArticle","1994","O'Reilly, Una-May","Genetic Programming II: Automatic Discovery of Reusable Programs.","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.439","https://direct.mit.edu/artl/article/1/4/439-441/2231","","1994-07","2021-08-06 07:16:37","2021-08-06 07:16:37","2021-08-06 07:16:37","439-441","","4","1","","Artificial Life","Genetic Programming II","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAK8B52L","journalArticle","1994","Adami, Chris","On Modeling Life","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.429","https://direct.mit.edu/artl/article/1/4/429-438/2236","We present a theoretical as well as experimental investigation of a population of self-replicating segments of code subject to random mutation and survival of the fittest. Under the assumption that such a system constitutes a minimal system with characteristics of life, we obtain a number of statements on the evolution of complexity and the trade-off between entropy and information.","1994-07","2021-08-06 07:16:27","2021-08-06 07:16:27","2021-08-06 07:16:27","429-438","","4","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHEHMQG2","journalArticle","1994","Hosokawa, Kazuo; Shimoyama, Isao; Miura, Hirofumi","Dynamics of Self-Assembling Systems: Analogy with Chemical Kinetics","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.413","https://direct.mit.edu/artl/article/1/4/413-427/2232","In this article, we propose a new analyzing method for self-assembling systems. Its initial purpose was to predict the yield—the final amount of desired product—of our original self-assembling mechanical model. Moreover, the method clarifies the dynamical evolution of the system. In this method, the quantity of each intermediate product is adopted as state variables, and the dynamics that dominates the state variables is derived. The behavior of the system is reduced to a set of difference equations with a small degree of freedom. The concept is the same as in chemical kinetics or in population dynamics. However, it was never applied to self-assembling systems. The mathematical model is highly abstracted so that it is applicable to other self-assembling systems with only small modifications.","1994-07","2021-08-06 07:16:21","2021-08-06 07:16:21","2021-08-06 07:16:21","413-427","","4","1","","Artificial Life","Dynamics of Self-Assembling Systems","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83RAGCXG","journalArticle","1994","Toquenaga, Yukihiko; Kajitani, Isamu; Hoshino, Tsutomu","Egrets of a Feather Flock Together","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.391","https://direct.mit.edu/artl/article/1/4/391-411/2230","Group foraging and colonial formation in avian species are examined with an artificial life (alife) model using genetic algorithms (GA) and neural networks. Horn's classical model predicts that colonial birds are more successful than territorial ones in a patchy resource environment, and the reverse is true when resources are evenly distributed. The weak point of the model is confusion between colony formation and flock foraging and implicit assumption of perfect knowledge of resource distribution by foraging birds. The authors made an alife model that realized both flock foraging and colonial formation simultaneously during evolution in a patchy environment. The reference organisms were egrets, which make colonial nests in the breeding season and colonial roosts in the nonbreeding season. In the computer model, artificial egrets used the presence of other egrets as an indicator to locate resource-rich patches in a resource-clumped environment. On the contrary, egrets were less reliant on other individuals as a source of foraging information in evenly distributed resource conditions. Colonial nesting was also induced only in a patchy environment where the foraging efficiency was always higher than the evenly distributed condition. Local enhancement played an important role in achieving colonial and flock foraging.","1994-07","2021-08-06 07:16:15","2021-08-06 07:16:15","2021-08-06 07:16:15","391-411","","4","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRBNW3XZ","journalArticle","1994","Johnson, Michael Patrick; Maes, Pattie; Darrell, Trevor","Evolving Visual Routines","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.373","https://direct.mit.edu/artl/article/1/4/373-389/2233","Traditional machine vision assumes that the vision system recovers a complete, labeled description of the world [10]. Recently, several researchers have criticized this model and proposed an alternative model that considers perception as a distributed collection of task-specific, context-driven visual routines [1, 12]. Some of these researchers have argued that in natural living systems these visual routines are the product of natural selection [11]. So far, researchers have hand-coded task-specific visual routines for actual implementations (e.g., [3]). In this article we propose an alternative approach in which visual routines for simple tasks are created using an artificial evolution approach. We present results from a series of runs on actual camera images, in which simple routines were evolved using genetic programming techniques [7]. The results obtained are promising: The evolved routines are able to process correctly up to 93% of the test images, which is better than any algorithm we were able to write by hand.","1994-07","2021-08-06 07:16:05","2021-08-06 07:16:05","2021-08-06 07:16:05","373-389","","4","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\imy20\Zotero\storage\LRQ6N8Z3\Johnson et al. - 1994 - Evolving Visual Routines.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MVTIBDK6","journalArticle","1994","Sims, Karl","Evolving 3D Morphology and Behavior by Competition","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.353","https://direct.mit.edu/artl/article/1/4/353-372/2234","This article describes a system for the evolution and coevolution of virtual creatures that compete in physically simulated three-dimensional worlds. Pairs of individuals enter one-on-one contests in which they contend to gain control of a common resource. The winners receive higher relative fitness scores allowing them to survive and reproduce. Realistic dynamics simulation including gravity, collisions, and friction, restricts the actions to physically plausible behaviors.             The morphology of these creatures and the neural systems for controlling their muscle forces are both genetically determined, and the morphology and behavior can adapt to each other as they evolve simultaneously. The genotypes are structured as directed graphs of nodes and connections, and they can efficiently but flexibly describe instructions for the development of creatures' bodies and control systems with repeating or recursive components. When simulated evolutions are performed with populations of competing creatures, interesting and diverse strategies and counterstrategies emerge.","1994-07","2021-08-06 07:15:59","2021-08-06 07:15:59","2021-08-06 07:15:59","353-372","","4","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99DE7H4M","journalArticle","1994","Terzopoulos, Demetri; Tu, Xiaoyuan; Grzeszczuk, Radek","Artificial Fishes: Autonomous Locomotion, Perception, Behavior, and Learning in a Simulated Physical World","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.327","https://direct.mit.edu/artl/article/1/4/327-351/2237","This article develops artificial life patterned after animals as evolved as those in the superclass Pisces. It demonstrates a virtual marine world inhabited by realistic artificial fishes. Our algorithms emulate not only the appearance, movement, and behavior of individual animals, but also the complex group behaviors evident in many aquatic ecosystems. We model each animal holistically. An artificial fish is an autonomous agent situated in a simulated physical world. The agent has (a) a three-dimensional body with internal muscle actuators and functional fins that deforms and locomotes in accordance with biomechanic and hydrodynamic principles; (b) sensors, including eyes that can image the environment; and (c) a brain with motor, perception, behavior, and learning centers. Artificial fishes exhibit a repertoire of piscatorial behaviors that rely on their perceptual awareness of their dynamic habitat. Individual and emergent collective behaviors include caudal and pectoral locomotion, collision avoidance, foraging, preying, schooling, and mating. Furthermore, artificial fishes can learn how to locomote through practice and sensory reinforcement. Their motor learning algorithms discover muscle controllers that produce efficient hydrodynamic locomotion. The learning algorithms also enable artificial fishes to train themselves to accomplish higher level, perceptually guided motor tasks, such as maneuvering to reach a visible target.","1994-07","2021-08-06 07:15:51","2021-08-06 07:15:51","2021-08-06 07:15:51","327-351","","4","1","","Artificial Life","Artificial Fishes","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZR2EE4VW","journalArticle","1994","","Editor's Introduction: Special Issue on Highlights of the AlifelV Conference","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.4.iii","https://direct.mit.edu/artl/article/1/4/iii-vi/2235","","1994-07","2021-08-06 07:15:42","2021-08-06 07:15:42","2021-08-06 07:15:42","iii-vi","","4","1","","Artificial Life","Editor's Introduction","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","Langton, Christopher G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JNGM7KV","journalArticle","1994","Bonabeau, Eric W.; Theraulaz, G.","Why Do We Need Artificial Life?","Artificial Life","","1064-5462, 1530-9185","10.1162/artl.1994.1.3.303","https://direct.mit.edu/artl/article/1/3/303-325/2756","In this paper, we ask the question of whether we need artificial life (AL) at all. We find a lot of convincing arguments in favor of AL, but we also point out some dangers AL is exposed to. This careful epistemological review reveals the potential richness of AL without being either too reductionist or too holistic. We give some examples showing how this can be done in practice, and conclude that almost everybody needs AL.","1994-04","2021-08-06 07:14:04","2021-08-06 07:14:04","2021-08-06 07:14:04","303-325","","3","1","","Artificial Life","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
